Id_Pays;annee;Id_Score;valeur_score;rang
144;2015;1;1.00;1
61;2015;1;2.00;2
39;2015;1;3.00;3
111;2015;1;4.00;4
26;2015;1;5.00;5
47;2015;1;6.00;6
103;2015;1;7.00;7
143;2015;1;8.00;8
104;2015;1;9.00;9
7;2015;1;10.00;10
67;2015;1;11.00;11
35;2015;1;12.00;12
8;2015;1;13.00;13
94;2015;1;14.00;14
161;2015;1;15.00;15
20;2015;1;16.00;16
85;2015;1;17.00;17
66;2015;1;18.00;18
13;2015;1;19.00;19
159;2015;1;20.00;20
160;2015;1;21.00;21
112;2015;1;22.00;22
164;2015;1;23.00;23
130;2015;1;24.00;24
115;2015;1;25.00;25
52;2015;1;26.00;26
29;2015;1;27.00;27
122;2015;1;28.00;28
48;2015;1;29.00;29
5;2015;1;30.00;30
38;2015;1;31.00;31
162;2015;1;32.00;32
31;2015;1;33.00;33
150;2015;1;34.00;34
126;2015;1;35.00;35
138;2015;1;36.00;36
91;2015;1;37.00;37
146;2015;1;38.00;38
76;2015;1;39.00;39
141;2015;1;40.00;40
153;2015;1;41.00;41
44;2015;1;42.00;42
55;2015;1;43.00;43
163;2015;1;44.00;44
131;2015;1;45.00;45
71;2015;1;46.00;46
136;2015;1;47.00;47
42;2015;1;48.00;48
10;2015;1;49.00;49
68;2015;1;50.00;50
17;2015;1;51.00;51
95;2015;1;52.00;52
116;2015;1;53.00;53
73;2015;1;54.00;54
132;2015;1;55.00;55
84;2015;1;56.00;56
105;2015;1;57.00;57
117;2015;1;58.00;58
12;2015;1;59.00;59
119;2015;1;60.00;60
89;2015;1;61.00;61
36;2015;1;62.00;62
83;2015;1;63.00;63
124;2015;1;64.00;64
70;2015;1;65.00;65
108;2015;1;66.00;66
37;2015;1;67.00;67
3;2015;1;68.00;68
75;2015;1;69.00;69
156;2015;1;70.00;70
93;2015;1;71.00;71
59;2015;1;72.00;72
45;2015;1;73.00;73
63;2015;1;74.00;74
165;2015;1;75.00;75
155;2015;1;76.00;76
77;2015;1;77.00;77
107;2015;1;78.00;78
16;2015;1;79.00;79
9;2015;1;80.00;80
113;2015;1;81.00;81
72;2015;1;82.00;82
97;2015;1;82.00;82
30;2015;1;84.00;84
167;2015;1;85.00;85
123;2015;1;86.00;86
128;2015;1;87.00;87
120;2015;1;88.00;88
79;2015;1;89.00;89
118;2015;1;90.00;90
134;2015;1;91.00;91
98;2015;1;92.00;92
86;2015;1;93.00;93
99;2015;1;94.00;94
2;2015;1;95.00;95
18;2015;1;96.00;96
81;2015;1;97.00;97
41;2015;1;98.00;98
78;2015;1;99.00;99
96;2015;1;100.00;100
142;2015;1;101.00;101
54;2015;1;102.00;102
80;2015;1;103.00;103
60;2015;1;104.00;104
58;2015;1;105.00;105
148;2015;1;106.00;106
154;2015;1;107.00;107
114;2015;1;108.00;108
11;2015;1;109.00;109
64;2015;1;110.00;110
158;2015;1;111.00;111
65;2015;1;112.00;112
135;2015;1;113.00;113
53;2015;1;114.00;114
168;2015;1;115.00;115
82;2015;1;116.00;116
62;2015;1;117.00;117
140;2015;1;118.00;118
57;2015;1;119.00;119
34;2015;1;120.00;120
102;2015;1;121.00;121
46;2015;1;122.00;122
129;2015;1;123.00;123
92;2015;1;124.00;124
74;2015;1;125.00;125
40;2015;1;126.00;126
6;2015;1;127.00;127
19;2015;1;128.00;128
100;2015;1;129.00;129
51;2015;1;130.00;130
88;2015;1;131.00;131
139;2015;1;132.00;132
25;2015;1;133.00;133
21;2015;1;134.00;134
43;2015;1;135.00;135
166;2015;1;136.00;136
4;2015;1;137.00;137
90;2015;1;138.00;138
33;2015;1;139.00;139
32;2015;1;140.00;140
157;2015;1;141.00;141
127;2015;1;142.00;142
49;2015;1;143.00;143
106;2015;1;144.00;144
24;2015;1;145.00;145
149;2015;1;146.00;146
87;2015;1;147.00;147
27;2015;1;148.00;148
28;2015;1;149.00;149
56;2015;1;150.00;150
69;2015;1;151.00;151
22;2015;1;152.00;152
1;2015;1;153.00;153
125;2015;1;154.00;154
15;2015;1;155.00;155
145;2015;1;156.00;156
23;2015;1;157.00;157
151;2015;1;158.00;158
39;2016;1;1.00;1
144;2016;1;2.00;2
61;2016;1;3.00;3
111;2016;1;4.00;4
47;2016;1;5.00;5
26;2016;1;6.00;6
103;2016;1;7.00;7
104;2016;1;8.00;8
7;2016;1;9.00;9
143;2016;1;10.00;10
67;2016;1;11.00;11
8;2016;1;12.00;12
161;2016;1;13.00;13
35;2016;1;14.00;14
121;2016;1;15.00;15
52;2016;1;16.00;16
20;2016;1;17.00;17
13;2016;1;18.00;18
66;2016;1;19.00;19
85;2016;1;20.00;20
94;2016;1;21.00;21
130;2016;1;22.00;22
160;2016;1;23.00;23
29;2016;1;24.00;24
115;2016;1;25.00;25
5;2016;1;26.00;26
38;2016;1;27.00;27
159;2016;1;28.00;28
162;2016;1;29.00;29
91;2016;1;30.00;30
31;2016;1;31.00;31
48;2016;1;32.00;32
150;2016;1;33.00;33
146;2016;1;34.00;34
126;2016;1;34.00;34
122;2016;1;36.00;36
138;2016;1;37.00;37
3;2016;1;38.00;38
55;2016;1;39.00;39
141;2016;1;40.00;40
76;2016;1;41.00;41
10;2016;1;42.00;42
153;2016;1;43.00;43
164;2016;1;44.00;44
131;2016;1;45.00;45
44;2016;1;46.00;46
89;2016;1;47.00;47
105;2016;1;48.00;48
163;2016;1;49.00;49
68;2016;1;50.00;50
42;2016;1;51.00;51
14;2016;1;52.00;52
71;2016;1;53.00;53
73;2016;1;54.00;54
95;2016;1;55.00;55
124;2016;1;56.00;56
119;2016;1;57.00;57
136;2016;1;57.00;57
17;2016;1;59.00;59
84;2016;1;60.00;60
12;2016;1;61.00;61
108;2016;1;62.00;62
132;2016;1;63.00;63
117;2016;1;64.00;64
156;2016;1;65.00;65
93;2016;1;66.00;66
83;2016;1;67.00;67
79;2016;1;68.00;68
37;2016;1;69.00;69
116;2016;1;70.00;70
123;2016;1;71.00;71
45;2016;1;72.00;72
70;2016;1;73.00;73
36;2016;1;74.00;74
59;2016;1;75.00;75
133;2016;1;76.00;76
75;2016;1;77.00;77
155;2016;1;78.00;78
63;2016;1;79.00;79
72;2016;1;80.00;80
9;2016;1;81.00;81
118;2016;1;82.00;82
30;2016;1;83.00;83
16;2016;1;84.00;84
77;2016;1;85.00;85
128;2016;1;86.00;86
18;2016;1;87.00;87
97;2016;1;88.00;88
41;2016;1;89.00;89
98;2016;1;90.00;90
60;2016;1;91.00;91
113;2016;1;92.00;92
80;2016;1;93.00;93
120;2016;1;94.00;94
86;2016;1;95.00;95
165;2016;1;96.00;96
134;2016;1;97.00;97
154;2016;1;98.00;98
54;2016;1;99.00;99
148;2016;1;100.00;100
96;2016;1;101.00;101
78;2016;1;102.00;102
107;2016;1;103.00;103
58;2016;1;104.00;104
64;2016;1;105.00;105
167;2016;1;106.00;106
102;2016;1;107.00;107
114;2016;1;108.00;108
2;2016;1;109.00;109
11;2016;1;110.00;110
129;2016;1;111.00;111
65;2016;1;112.00;112
101;2016;1;113.00;113
25;2016;1;114.00;114
46;2016;1;115.00;115
135;2016;1;116.00;116
139;2016;1;117.00;117
62;2016;1;118.00;118
100;2016;1;119.00;119
43;2016;1;120.00;120
6;2016;1;121.00;121
74;2016;1;122.00;122
158;2016;1;123.00;123
53;2016;1;124.00;124
34;2016;1;125.00;125
51;2016;1;126.00;126
33;2016;1;127.00;127
127;2016;1;128.00;128
21;2016;1;129.00;129
92;2016;1;130.00;130
168;2016;1;131.00;131
88;2016;1;132.00;132
140;2016;1;133.00;133
49;2016;1;134.00;134
90;2016;1;135.00;135
57;2016;1;136.00;136
19;2016;1;137.00;137
32;2016;1;138.00;138
69;2016;1;139.00;139
24;2016;1;140.00;140
4;2016;1;141.00;141
106;2016;1;142.00;142
137;2016;1;143.00;143
28;2016;1;144.00;144
22;2016;1;145.00;145
157;2016;1;145.00;145
166;2016;1;147.00;147
87;2016;1;148.00;148
149;2016;1;149.00;149
82;2016;1;150.00;150
56;2016;1;151.00;151
125;2016;1;152.00;152
15;2016;1;153.00;153
1;2016;1;154.00;154
151;2016;1;155.00;155
145;2016;1;156.00;156
23;2016;1;157.00;157
111;2017;1;1.00;1
39;2017;1;2.00;2
61;2017;1;3.00;3
144;2017;1;4.00;4
47;2017;1;5.00;5
103;2017;1;6.00;6
26;2017;1;7.00;7
104;2017;1;8.00;8
143;2017;1;9.00;9
7;2017;1;10.00;10
67;2017;1;11.00;11
35;2017;1;12.00;12
8;2017;1;13.00;13
161;2017;1;14.00;14
66;2017;1;15.00;15
52;2017;1;16.00;16
13;2017;1;17.00;17
85;2017;1;18.00;18
160;2017;1;19.00;19
29;2017;1;20.00;20
159;2017;1;21.00;21
20;2017;1;22.00;22
38;2017;1;23.00;23
5;2017;1;24.00;24
94;2017;1;25.00;25
130;2017;1;26.00;26
91;2017;1;27.00;27
162;2017;1;28.00;28
55;2017;1;29.00;29
115;2017;1;30.00;30
48;2017;1;31.00;31
150;2017;1;32.00;32
147;2017;1;33.00;33
138;2017;1;34.00;34
122;2017;1;35.00;35
31;2017;1;36.00;36
126;2017;1;37.00;37
153;2017;1;38.00;38
76;2017;1;39.00;39
131;2017;1;40.00;40
10;2017;1;41.00;41
89;2017;1;42.00;42
105;2017;1;43.00;43
42;2017;1;44.00;44
